epoch,dice_coef,loss,lr,mad,mean_io_u,mean_squared_error,val_dice_coef,val_loss,val_mad,val_mean_io_u,val_mean_squared_error
0,0.7348496913909912,0.2650764584541321,1e-04,0.22848546504974365,0.30351778864860535,0.21490272879600525,0.7876774668693542,0.21231138706207275,0.16246028244495392,0.3043860197067261,0.15831805765628815
1,0.813049852848053,0.18677912652492523,1e-04,0.15142308175563812,0.30367618799209595,0.14778882265090942,0.8275473713874817,0.1724436730146408,0.14142531156539917,0.3043861389160156,0.13843484222888947
2,0.8495115041732788,0.1504930853843689,1e-04,0.12053509801626205,0.3108184039592743,0.11783387511968613,0.8310352563858032,0.16895948350429535,0.12221972644329071,0.3044087886810303,0.11953552812337875
3,0.8679786324501038,0.13199399411678314,1e-04,0.10450800508260727,0.33612343668937683,0.10217395424842834,0.8650535941123962,0.13495025038719177,0.11013997346162796,0.33623120188713074,0.10784456878900528
4,0.8817939162254333,0.11820372194051743,1e-04,0.09286093711853027,0.3750000298023224,0.09091325849294662,0.8550576567649841,0.14493396878242493,0.10518939048051834,0.3792229890823364,0.10305608063936234
5,0.8935266137123108,0.10645008832216263,1e-04,0.08337513357400894,0.4175640046596527,0.08171441406011581,0.8902904987335205,0.10970321297645569,0.08827903121709824,0.44992533326148987,0.08681459724903107
6,0.903226375579834,0.0967516228556633,1e-04,0.07558581978082657,0.46044230461120605,0.07408614456653595,0.8981912732124329,0.10181866586208344,0.07951488345861435,0.4532839357852936,0.07803522050380707
7,0.9110708236694336,0.08892249315977097,1e-04,0.06932002305984497,0.5041202902793884,0.06797836720943451,0.8971761465072632,0.10283243656158447,0.08206750452518463,0.44020509719848633,0.08074977248907089
8,0.9182935357093811,0.08171287178993225,1e-04,0.06335596740245819,0.5440188050270081,0.06212259456515312,0.8947028517723083,0.10530604422092438,0.07793563604354858,0.4674755036830902,0.07668706029653549
9,0.925054669380188,0.07494566589593887,1e-04,0.058102451264858246,0.5840222239494324,0.0569637268781662,0.9186720848083496,0.0813324898481369,0.06329052895307541,0.7076029777526855,0.06219983473420143
10,0.9312925338745117,0.06867314875125885,1e-04,0.05313066393136978,0.6130912899971008,0.05204242095351219,0.9092243909835815,0.09078331291675568,0.07142486423254013,0.7811075448989868,0.07043632864952087
11,0.9366738200187683,0.06332237273454666,1e-04,0.04890279844403267,0.6461581587791443,0.047973040491342545,0.9185610413551331,0.08143749833106995,0.06157742068171501,0.7508901357650757,0.060555003583431244
12,0.9410157203674316,0.05896098166704178,1e-04,0.045415766537189484,0.6719688177108765,0.044549230486154556,0.9084041118621826,0.09160325676202774,0.072867751121521,0.7636011242866516,0.0717805027961731
13,0.94456547498703,0.05525384843349457,1e-04,0.0424947589635849,0.7000517845153809,0.041658639907836914,0.9206938147544861,0.07931353151798248,0.06228240951895714,0.8194925785064697,0.061415430158376694
14,0.9486844539642334,0.051315292716026306,1e-04,0.03929727151989937,0.7200947403907776,0.03853696212172508,0.9392592906951904,0.060738276690244675,0.04716675356030464,0.8038266897201538,0.046328864991664886
15,0.9520100355148315,0.04788528382778168,1e-04,0.0367945171892643,0.7471861243247986,0.03607660531997681,0.9157669544219971,0.08422693610191345,0.06650187075138092,0.8700923323631287,0.06543432176113129
16,0.9555201530456543,0.044478580355644226,1e-04,0.03416554257273674,0.7681146860122681,0.03352101892232895,0.9338193535804749,0.066184401512146,0.05034652724862099,0.8216913938522339,0.04957957565784454
17,0.9579187035560608,0.04207560792565346,1e-04,0.03237421438097954,0.7851816415786743,0.03176466003060341,0.9385083913803101,0.06149802356958389,0.04656912758946419,0.7689516544342041,0.04587041586637497
18,0.9607024192810059,0.0392986536026001,1e-04,0.030072277411818504,0.7986884117126465,0.029482927173376083,0.9350122213363647,0.06499292701482773,0.049184463918209076,0.7612130045890808,0.04843384772539139
19,0.9625760912895203,0.0374256856739521,1e-04,0.02874336577951908,0.8156993389129639,0.028180228546261787,0.9422948956489563,0.05768302083015442,0.04475558549165726,0.8784260749816895,0.044117964804172516
20,0.9644359350204468,0.03555728495121002,1e-04,0.02720443531870842,0.8260823488235474,0.02666584402322769,0.9420049786567688,0.05799128860235214,0.04393007233738899,0.8232319355010986,0.04326625540852547
21,0.9663525819778442,0.03364257141947746,1e-04,0.025753561407327652,0.840819776058197,0.025257030501961708,0.950839102268219,0.049163930118083954,0.037885960191488266,0.8655798435211182,0.03731168806552887
22,0.9679163694381714,0.03208494931459427,1e-04,0.024548199027776718,0.8581594228744507,0.02407587319612503,0.9167157411575317,0.0832899808883667,0.06707955151796341,0.8882559537887573,0.06631787121295929
23,0.9694160223007202,0.03057665377855301,1e-04,0.023374371230602264,0.8592000007629395,0.02291746251285076,0.9408882856369019,0.05911115184426308,0.04425834119319916,0.781456708908081,0.04354635253548622
24,0.9708551168441772,0.029150692746043205,1e-04,0.02226894535124302,0.8740023374557495,0.02184252068400383,0.9497010111808777,0.05030135065317154,0.03888003155589104,0.8989843130111694,0.038368210196495056
25,0.971725344657898,0.028276365250349045,1e-04,0.02157890796661377,0.8837845921516418,0.02115793712437153,0.9456925988197327,0.05431162565946579,0.040850620716810226,0.8218097686767578,0.04028760641813278
26,0.9734443426132202,0.026554370298981667,1e-04,0.020250556990504265,0.8935816287994385,0.019850846379995346,0.9532957673072815,0.046708885580301285,0.0355401486158371,0.898859441280365,0.035076022148132324
27,0.973708987236023,0.026292169466614723,1e-04,0.019999133422970772,0.8980875015258789,0.019606878980994225,0.9500271081924438,0.04997462406754494,0.038180217146873474,0.9087680578231812,0.037683144211769104
