epoch,dice_coef,loss,lr,mad,mean_io_u,mean_squared_error,val_dice_coef,val_loss,val_mad,val_mean_io_u,val_mean_squared_error
0,0.856950581073761,0.14306573569774628,1e-04,0.1204541027545929,0.3035178780555725,0.09230274707078934,0.2173701673746109,0.7826467156410217,0.3474084734916687,0.3043859899044037,0.342610239982605
1,0.9277603030204773,0.07224663347005844,1e-04,0.05549825727939606,0.30351799726486206,0.05242238938808441,0.8451286554336548,0.1548822969198227,0.11602623015642166,0.3043859601020813,0.1135244071483612
2,0.9429911375045776,0.05702010542154312,1e-04,0.0437074676156044,0.30351775884628296,0.04236234724521637,0.7874371409416199,0.21255140006542206,0.14189864695072174,0.30438607931137085,0.13995349407196045
3,0.9517227411270142,0.04827312007546425,1e-04,0.03691314905881882,0.3035179674625397,0.036127518862485886,0.4776003360748291,0.5224084258079529,0.3865463435649872,0.30438584089279175,0.38365012407302856
4,0.9568419456481934,0.043135400861501694,1e-04,0.03285520151257515,0.30351749062538147,0.0322694294154644,0.4662966728210449,0.5336731672286987,0.2766154408454895,0.3043859601020813,0.27603211998939514
5,0.9609405994415283,0.039062995463609695,1e-04,0.029650645330548286,0.3035179376602173,0.0291842482984066,0.4309673309326172,0.569042980670929,0.4070965349674225,0.3043861389160156,0.4046345055103302
6,0.9639629125595093,0.03601890802383423,1e-04,0.027366872876882553,0.30351781845092773,0.026951028034090996,0.9107121229171753,0.08928380161523819,0.06483124941587448,0.3043859601020813,0.06405096501111984
7,0.9654455184936523,0.03455693647265434,1e-04,0.026103219017386436,0.30351781845092773,0.025735653936862946,0.07555451989173889,0.9244441390037537,0.3906901478767395,0.3043859899044037,0.3899680972099304
8,0.9679476618766785,0.03204970434308052,1e-04,0.024240801110863686,0.3035178780555725,0.023903265595436096,0.3994103968143463,0.6006011962890625,0.39524462819099426,0.30438607931137085,0.39219537377357483
9,0.969674825668335,0.03032161481678486,1e-04,0.02295457199215889,0.3035182058811188,0.02263820543885231,0.6093826293945312,0.3906291425228119,0.37156620621681213,0.30438604950904846,0.36884820461273193
10,0.9709398150444031,0.029064320027828217,1e-04,0.022070497274398804,0.30351781845092773,0.021782560274004936,0.23529134690761566,0.7647250890731812,0.37824389338493347,0.3043859601020813,0.377147912979126
11,0.972335934638977,0.027660533785820007,1e-04,0.020915739238262177,0.30351775884628296,0.0206392053514719,0.6601405143737793,0.3398575782775879,0.23358643054962158,0.30438604950904846,0.2322775274515152
12,0.9751901030540466,0.024812422692775726,1e-05,0.01877472549676895,0.3035178780555725,0.018531061708927155,0.9671840071678162,0.03281174972653389,0.02469731494784355,0.3043860197067261,0.024428121745586395
13,0.9761070609092712,0.023893430829048157,1e-05,0.018030352890491486,0.3035178780555725,0.017787577584385872,0.9708300232887268,0.029170120134949684,0.021778352558612823,0.3043859899044037,0.02152959257364273
14,0.9767153859138489,0.023274222388863564,1e-05,0.017666758969426155,0.30351781845092773,0.01741955615580082,0.9714711904525757,0.028526989743113518,0.0213518887758255,0.3043859302997589,0.021104339510202408
15,0.9769896864891052,0.02300580032169819,1e-05,0.017382144927978516,0.30351802706718445,0.017137112095952034,0.9697991013526917,0.030203279107809067,0.022707398980855942,0.30438604950904846,0.02245800383388996
16,0.9774315357208252,0.02255181409418583,1e-05,0.017072802409529686,0.3035179376602173,0.016830889508128166,0.9716852903366089,0.028315698727965355,0.021425114944577217,0.3043861389160156,0.021175142377614975
17,0.9775640964508057,0.022437673062086105,1e-05,0.016930822283029556,0.3035178780555725,0.016693374142050743,0.9722190499305725,0.027781737968325615,0.02101476490497589,0.3043860197067261,0.020768331363797188
18,0.9777368307113647,0.022260624915361404,1e-05,0.01677360199391842,0.30351799726486206,0.016536634415388107,0.9722753763198853,0.027726080268621445,0.02087274380028248,0.3043859302997589,0.02062554471194744
19,0.977920413017273,0.02207532525062561,1e-05,0.016643056645989418,0.30351778864860535,0.016401764005422592,0.9711970090866089,0.028801193460822105,0.021686101332306862,0.3043859004974365,0.021427037194371223
20,0.9780579209327698,0.021741945296525955,1e-05,0.016438361257314682,0.3035179376602173,0.016124730929732323,0.9722343683242798,0.02776515670120716,0.020864337682724,0.3043859302997589,0.020617857575416565
21,0.9782995581626892,0.021702084690332413,1e-05,0.016322510316967964,0.30351805686950684,0.016091907396912575,0.9530009031295776,0.047001536935567856,0.035035140812397,0.30438607931137085,0.034719597548246384
22,0.9787225723266602,0.02127295546233654,1e-05,0.01607389561831951,0.30351778864860535,0.01583981141448021,0.9707196950912476,0.029283232986927032,0.0219345074146986,0.3043860197067261,0.02168925665318966
23,0.9789144396781921,0.02108524553477764,1e-06,0.01593073457479477,0.3035179078578949,0.015700357034802437,0.9734746217727661,0.026524655520915985,0.019959168508648872,0.30438607931137085,0.01972167380154133
24,0.9790709614753723,0.020925311371684074,1e-06,0.01588878594338894,0.30351775884628296,0.015653476119041443,0.9738581776618958,0.026142584159970284,0.01991787925362587,0.30438604950904846,0.019681377336382866
25,0.9791845083236694,0.020812194794416428,1e-06,0.015794897451996803,0.30351772904396057,0.015561016276478767,0.9733884930610657,0.02661263197660446,0.019898585975170135,0.3043860197067261,0.019662952050566673
26,0.9790253043174744,0.02097688429057598,1e-06,0.015828879550099373,0.30351823568344116,0.015597803518176079,0.9737870097160339,0.026208752766251564,0.019870547577738762,0.3043859899044037,0.01962983049452305
27,0.9791154861450195,0.020853152498602867,1e-06,0.01577134244143963,0.30351799726486206,0.01551626157015562,0.9736533164978027,0.026346782222390175,0.019861217588186264,0.3043861389160156,0.01962287537753582
28,0.9789940714836121,0.021009471267461777,1e-06,0.01584598980844021,0.30351758003234863,0.01561836525797844,0.9738051295280457,0.026193654164671898,0.019847748801112175,0.30438584089279175,0.019608283415436745
29,0.9790934920310974,0.020907750353217125,1e-06,0.015801794826984406,0.3035179376602173,0.01557387039065361,0.9737643599510193,0.02623651921749115,0.019809341058135033,0.3043859302997589,0.019573789089918137
30,0.979094922542572,0.020903050899505615,1e-07,0.015732813626527786,0.3035179376602173,0.015501734800636768,0.9739246368408203,0.026074085384607315,0.019810199737548828,0.3043860197067261,0.019570529460906982
31,0.9791460037231445,0.020848151296377182,1e-07,0.01573139801621437,0.30351802706718445,0.015499711036682129,0.9739287495613098,0.026072854176163673,0.01980988122522831,0.30438607931137085,0.019573822617530823
32,0.9790924787521362,0.02090173028409481,1e-07,0.015786530449986458,0.3035178780555725,0.01554943434894085,0.973663866519928,0.026335950940847397,0.019815677776932716,0.3043859899044037,0.01957695744931698
33,0.9791619181632996,0.020833488553762436,1e-07,0.015717236325144768,0.30351778864860535,0.01548138726502657,0.9739605784416199,0.026040533557534218,0.019813159480690956,0.3043859302997589,0.019576653838157654
34,0.979061484336853,0.020937373861670494,1e-07,0.01576106809079647,0.30351758003234863,0.015533068217337132,0.9737015962600708,0.026300199329853058,0.019806448370218277,0.3043861389160156,0.019569329917430878
35,0.9791001081466675,0.020904166623950005,1e-07,0.015710463747382164,0.3035179376602173,0.015484499745070934,0.9735324382781982,0.02646445296704769,0.019820572808384895,0.3043859601020813,0.01958218589425087
36,0.9792366623878479,0.02076439931988716,1e-07,0.01576058194041252,0.30351772904396057,0.015533958561718464,0.9737358689308167,0.026266196742653847,0.019808365032076836,0.30438607931137085,0.01957152783870697
37,0.9791277050971985,0.020868312567472458,1e-07,0.015774564817547798,0.3035179078578949,0.01553653459995985,0.97370845079422,0.026291625574231148,0.01980459876358509,0.3043860197067261,0.019566919654607773
38,0.9791018962860107,0.020900165662169456,1e-07,0.015786336734890938,0.3035176694393158,0.015558915212750435,0.9738428592681885,0.026158295571804047,0.01980765350162983,0.3043859601020813,0.019571784883737564
39,0.9791370034217834,0.020851092413067818,1e-07,0.015706606209278107,0.30351772904396057,0.015472197905182838,0.9738860726356506,0.02611350454390049,0.01979834772646427,0.3043859899044037,0.019559461623430252
40,0.9792478084564209,0.020747853443026543,1e-07,0.015675660222768784,0.3035179078578949,0.015441321767866611,0.9737505316734314,0.026244962587952614,0.019798317924141884,0.30438610911369324,0.01955719292163849
41,0.9789617657661438,0.02093769982457161,1e-07,0.015812451019883156,0.3035178780555725,0.015546999871730804,0.9737940430641174,0.026207929477095604,0.01979985460639,0.30438610911369324,0.019563570618629456
42,0.979174017906189,0.020812775939702988,1e-07,0.015728652477264404,0.3035176992416382,0.01547872181981802,0.9735581874847412,0.026441209018230438,0.01979058049619198,0.3043860197067261,0.019552739337086678
43,0.9791785478591919,0.020824071019887924,1e-07,0.015731722116470337,0.30351775884628296,0.015504020266234875,0.9739589095115662,0.026041405275464058,0.01978822611272335,0.3043859302997589,0.019550252705812454
