epoch,dice_coef,loss,lr,mad,mean_io_u,mean_squared_error,val_dice_coef,val_loss,val_mad,val_mean_io_u,val_mean_squared_error
13,0.9454180598258972,0.0545816607773304,1e-05,0.024487920105457306,0.8626024127006531,0.02184641733765602,0.9141792058944702,0.08582056313753128,0.026184584945440292,0.8762688040733337,0.0241407323628664
14,0.9462270140647888,0.053773537278175354,1e-05,0.024083303287625313,0.8640207052230835,0.02144627273082733,0.9123491644859314,0.08765068650245667,0.026575256139039993,0.8745477199554443,0.024550078436732292
15,0.9467043876647949,0.05329466238617897,1e-05,0.023870347067713737,0.8651174306869507,0.021241528913378716,0.9126049280166626,0.08739494532346725,0.02633003704249859,0.8750745058059692,0.02431165613234043
16,0.9470800757408142,0.052919838577508926,1e-05,0.02371528185904026,0.8662257790565491,0.02109343186020851,0.9136329889297485,0.08636675775051117,0.026094822213053703,0.8757388591766357,0.024080663919448853
17,0.9474706649780273,0.052529774606227875,1e-05,0.023515578359365463,0.8670921325683594,0.02089761756360531,0.9144673943519592,0.08553268760442734,0.025780316442251205,0.8775445222854614,0.02375912107527256
18,0.9478921890258789,0.05210758000612259,1e-05,0.023331591859459877,0.8683720827102661,0.02072329632937908,0.9157966375350952,0.08420334756374359,0.025424841791391373,0.8791347742080688,0.023410577327013016
19,0.948452889919281,0.05154618248343468,1e-05,0.02308335155248642,0.8697619438171387,0.020486153662204742,0.9145001173019409,0.0854998230934143,0.026028979569673538,0.8770726919174194,0.02400975115597248
20,0.9486790895462036,0.05132225528359413,1e-05,0.02301528863608837,0.8705325126647949,0.020417002961039543,0.9165235161781311,0.08347635716199875,0.025372564792633057,0.8798034191131592,0.02335703931748867
21,0.9490125179290771,0.050987742841243744,1e-05,0.022797783836722374,0.8717674612998962,0.020206710323691368,0.9150310754776001,0.08496898412704468,0.02567979320883751,0.8787230849266052,0.023669864982366562
22,0.9492704272270203,0.05072943866252899,1e-05,0.02269182913005352,0.8732542991638184,0.020109029486775398,0.9187195301055908,0.08128026127815247,0.02488674223423004,0.8811571598052979,0.022871967405080795
23,0.9498002529144287,0.05020028352737427,1e-05,0.022473169490695,0.874133825302124,0.019896844401955605,0.9154049754142761,0.08459500223398209,0.025596829131245613,0.8784240484237671,0.023598814383149147
24,0.9502164721488953,0.049783047288656235,1e-05,0.02226577140390873,0.8756963014602661,0.01969953067600727,0.916671097278595,0.0833292156457901,0.025152141228318214,0.8808228969573975,0.023161325603723526
25,0.9502822160720825,0.04971838369965553,1e-05,0.022228039801120758,0.8763453960418701,0.01966392621397972,0.922041654586792,0.07795830070972443,0.023525729775428772,0.8844842314720154,0.021538035944104195
26,0.9507472515106201,0.04925227910280228,1e-05,0.022046387195587158,0.8770780563354492,0.0194897148758173,0.9184513092041016,0.08154897391796112,0.024634968489408493,0.881523609161377,0.02264692448079586
27,0.951114296913147,0.04888519272208214,1e-05,0.021865151822566986,0.8782068490982056,0.01931312307715416,0.9202231168746948,0.07977727055549622,0.02421128749847412,0.8817737102508545,0.02222619019448757
28,0.9513134360313416,0.04868614301085472,1e-05,0.021795067936182022,0.8786929249763489,0.01924792490899563,0.9215826392173767,0.0784173384308815,0.023823896422982216,0.8844976425170898,0.021824024617671967
29,0.9516673684120178,0.04833308979868889,1e-05,0.021613117307424545,0.8796478509902954,0.019070452079176903,0.9199353456497192,0.08006459474563599,0.024245815351605415,0.8830703496932983,0.022268205881118774
30,0.9518354535102844,0.04816434904932976,1e-05,0.021522512659430504,0.8802653551101685,0.018983343616127968,0.9207065105438232,0.07929371297359467,0.024005739018321037,0.8844059705734253,0.022022105753421783
31,0.9531370401382446,0.04686310142278671,1e-06,0.020922977477312088,0.8819133043289185,0.01839670166373253,0.9246217608451843,0.07537838816642761,0.022819848731160164,0.8857678771018982,0.020851382985711098
32,0.9532037377357483,0.046795766800642014,1e-06,0.020901575684547424,0.8819221258163452,0.018371127545833588,0.9259738922119141,0.07402612268924713,0.022436467930674553,0.8872083425521851,0.020464293658733368
33,0.953216552734375,0.046784792095422745,1e-06,0.020910145714879036,0.8819891214370728,0.018379686400294304,0.9252206683158875,0.07477903366088867,0.02267327904701233,0.8865307569503784,0.02070222608745098
34,0.9534284472465515,0.04657205939292908,1e-06,0.020786775276064873,0.8822003602981567,0.01826048083603382,0.9248003363609314,0.07519937306642532,0.022846335545182228,0.8856972455978394,0.020876605063676834
35,0.9532546997070312,0.04674524441361427,1e-06,0.020862890407443047,0.8819530010223389,0.018331866711378098,0.9235764741897583,0.07642370462417603,0.02318877913057804,0.8844204545021057,0.02122221514582634
36,0.9533796310424805,0.04662071168422699,1e-06,0.020838679745793343,0.8821421265602112,0.01831061579287052,0.9232416749000549,0.07675831019878387,0.023241931572556496,0.8844611644744873,0.02127479761838913
37,0.9532650113105774,0.046735502779483795,1e-06,0.020863022655248642,0.8821142911911011,0.01833363063633442,0.9253777265548706,0.07462260127067566,0.022640548646450043,0.8864880800247192,0.02066880837082863
38,0.9535408616065979,0.04645812511444092,1e-07,0.02073446288704872,0.8826810121536255,0.01820698380470276,0.9245562553405762,0.07544323056936264,0.022899577394127846,0.8853693008422852,0.02093108370900154
39,0.9534683227539062,0.046531423926353455,1e-07,0.020764928311109543,0.8824195861816406,0.018240129575133324,0.9244425892829895,0.07555726170539856,0.02293187752366066,0.8851660490036011,0.020963823422789574
40,0.9536682367324829,0.04633188247680664,1e-07,0.02066010609269142,0.882675290107727,0.0181348267942667,0.9247382283210754,0.07526172697544098,0.0228361077606678,0.8854962587356567,0.020867779850959778
41,0.9535653591156006,0.046434931457042694,1e-07,0.020726438611745834,0.8825415372848511,0.018198832869529724,0.9246890544891357,0.07531064748764038,0.022863175719976425,0.8853838443756104,0.020894721150398254
42,0.9535751342773438,0.04642390087246895,1e-07,0.020719153806567192,0.8825904726982117,0.01819201186299324,0.9246662855148315,0.0753336250782013,0.0228636022657156,0.8853912353515625,0.020895304158329964
